State or Nation,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Total Number of Fire Safety Deficiencies,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Total Number of Fire Safety Deficiencies,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Total Number of Fire Safety Deficiencies,Average Number of Residents per Day,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Registered Nurse turnover,Number of administrators who have left the nursing home,Nursing Case-Mix Index,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Number of Fines,Fine Amount in Dollars,Percentage of long stay residents whose need for help with daily activities has increased,Percentage of long stay residents who lose too much weight,Percentage of long stay residents with a catheter inserted and left in their bladder,Percentage of long stay residents with a urinary tract infection,Percentage of long stay residents who have depressive symptoms,Percentage of long stay residents who were physically restrained,Percentage of long stay residents experiencing one or more falls with major injury,Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long stay residents who received an antipsychotic medication,Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short stay residents who newly received an antipsychotic medication,Percentage of long stay residents whose ability to walk independently worsened,Percentage of long stay residents who received an antianxiety or hypnotic medication,Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine,Percentage of long stay residents with pressure ulcers,Percentage of long stay residents with new or worsened bowel or bladder incontinence,Percentage of short stay residents who were rehospitalized after a nursing home admission,Percentage of short stay residents who had an outpatient emergency department visit,Number of hospitalizations per 1000 long-stay resident days,Number of outpatient emergency department visits per 1000 long-stay resident days,Processing Date
SC,4.7,0.9,4.5,0.7,4.6,0.5,89.1,2.21,0.99,0.64493,1.64,3.84903,3.34255,0.41,0.08,48.3,44.3,0.4,1.32144,0.64802,3.73422,3.30694,1.4,21964,14.948727,6.79051,0.856828,1.84737,2.980943,0.20971,3.060861,91.26923,14.985152,80.243875,1.756331,20.713262,20.684132,92.170359,76.712588,6.558461,17.52782,26.541397,14.503861,2.063715,1.934958,2025-05-01
SD,5.9,1.1,3.3,1.3,3.9,1.4,50.9,2.48,0.49,0.79275,1.28,3.76708,3.24672,0.5,0.05,50.1,35.5,0.2,1.23853,0.60737,3.49994,3.09946,1.0,17193,23.034835,5.767642,2.498405,3.565149,3.833283,0.104099,5.11242,96.209306,23.74867,86.484861,1.841762,25.741049,17.488805,96.516516,78.367224,4.870975,27.434373,21.136968,13.469071,1.39087,1.667266,2025-05-01
TN,6.3,3.2,4.4,2.6,4.5,3.1,81.3,2.15,1.1,0.6075,1.71,3.85859,3.34932,0.41,0.07,49.6,43.2,0.5,1.45021,0.71117,4.09813,3.62921,0.8,33584,17.863318,6.496361,1.361722,2.128298,9.742302,0.129021,3.603911,90.039276,16.590458,80.080063,1.783014,25.717028,32.280205,93.804071,79.612074,5.629258,21.146953,23.656815,12.683768,1.615259,1.580792,2025-05-01
TX,8.8,3.0,9.0,2.3,6.4,2.2,73.9,1.99,0.97,0.41213,1.39,3.38005,2.98827,0.33,0.07,51.8,50.8,0.7,1.28832,0.63179,3.64065,3.22407,1.9,52254,19.206951,4.118354,0.893607,0.841537,3.829369,0.041421,3.282357,97.369344,8.021418,90.416005,1.38607,21.96573,21.995881,98.096587,87.558244,4.889561,18.588288,26.545431,12.821937,2.088437,2.049966,2025-05-01
UT,9.0,4.3,9.2,3.7,9.6,3.3,57.7,2.36,0.51,1.18413,1.7,4.0626,3.55509,0.87,0.12,54.2,44.7,0.7,1.49091,0.73113,4.21312,3.73104,1.3,32632,19.857829,4.253773,1.322864,2.192884,16.962918,0.070776,2.765755,97.002932,13.477616,91.793416,1.146903,28.055526,23.010153,96.376443,84.46452,4.245961,23.719326,18.59206,11.699899,1.070478,1.291958,2025-05-01
VA,12.8,3.3,11.8,4.7,11.8,4.5,97.7,2.07,1.0,0.69925,1.7,3.76922,3.30708,0.47,0.08,47.7,46.7,0.7,1.38964,0.68147,3.92696,3.47762,0.6,20506,18.601226,6.027462,0.695419,1.640724,13.52915,0.14358,3.579171,91.519508,13.015305,75.264044,1.453899,23.912963,19.933507,93.805909,72.987668,5.67434,23.557612,22.973387,12.476324,1.430019,1.394712,2025-05-01
VT,9.2,0.7,8.8,1.4,8.9,3.5,70.8,2.41,0.91,0.7959,1.71,4.11526,3.60486,0.52,0.1,61.4,45.1,0.6,1.37405,0.67382,3.88289,3.4386,1.1,68425,22.644432,5.469439,1.432921,2.880366,10.959453,0.078948,5.507712,95.028331,19.494064,86.722799,1.268602,23.182081,16.357073,97.045444,78.07653,6.685721,28.104561,19.719296,18.589057,1.305534,2.450831,2025-05-01
WA,18.2,10.7,15.7,12.9,17.9,7.9,72.1,2.67,0.82,0.9018,1.72,4.39595,3.81816,0.64,0.09,49.5,46.3,0.7,1.46,0.71598,4.12579,3.6537,1.7,74110,18.803203,5.647833,1.937344,1.969326,14.951384,0.124124,2.621236,96.405682,14.553586,87.709016,1.387776,26.332959,12.13888,93.959086,80.098432,5.221336,25.587429,20.145658,13.45834,1.261497,1.446735,2025-05-01
WI,9.3,6.9,8.1,5.9,8.6,6.2,54.0,2.49,0.62,0.94941,1.57,4.06631,3.63821,0.64,0.07,49.0,42.6,0.5,1.36707,0.6704,3.86317,3.42113,1.2,40756,18.531567,5.106179,2.722173,3.39048,5.059326,0.081352,3.313697,96.03774,15.89672,87.837951,1.237531,25.374958,15.985021,93.799399,79.917841,5.615441,26.530729,22.758856,15.68909,1.448988,2.143461,2025-05-01
WV,15.1,3.9,14.6,2.5,10.5,2.4,77.2,2.08,0.95,0.66782,1.62,3.70244,3.23215,0.36,0.06,48.5,42.4,0.6,1.36656,0.67015,3.86175,3.41987,0.9,28346,20.743875,6.926936,0.713068,2.283915,5.107263,0.214043,4.271864,97.221884,14.327893,79.37987,1.247184,26.701321,26.683623,97.204996,79.744146,5.569299,22.444539,25.585991,14.61114,1.89758,1.960393,2025-05-01
WY,6.4,3.7,6.3,6.9,6.9,5.8,57.6,2.44,0.52,0.93177,1.45,3.88921,3.35547,0.67,0.04,53.6,44.2,0.7,1.22168,0.5991,3.45232,3.0573,2.1,24587,22.623095,6.251831,2.674338,3.588815,7.381893,0.660777,5.509633,93.142707,22.86082,73.071769,2.96512,23.246682,16.292224,94.802903,66.014315,5.319146,23.717358,17.71329,13.289951,1.425601,2.209843,2025-05-01
